pdf_id,title,committee_name,conf_date,url
415회-1차-안건조정위원회-2024-06-25,제22대국회 제415회 1차 안건조정위원회,안건조정위원회,2024-06-25,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053886&fileId=0000119763&deviceGubun=P&imsiYn=P
416회-2차-기획재정위원회-2024-07-09,제22대국회 제416회 2차 기획재정위원회,기획재정위원회,2024-07-09,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053896&fileId=0000119944&deviceGubun=P&imsiYn=P
416회-1차-고용노동법안심사소위원회-2024-07-09,제22대국회 제416회 1차 고용노동법안심사소위원회,고용노동법안심사소위원회,2024-07-09,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053903&fileId=0000120044&deviceGubun=P&imsiYn=P
416회-1차-농림축산식품해양수산위원회-2024-07-09,제22대국회 제416회 1차 농림축산식품해양수산위원회,농림축산식품해양수산위원회,2024-07-09,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053897&fileId=0000119951&deviceGubun=P&imsiYn=P
416회-1차-산업통상자원중소벤처기업위원회-2024-07-09,제22대국회 제416회 1차 산업통상자원중소벤처기업위원회,산업통상자원중소벤처기업위원회,2024-07-09,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053900&fileId=0000120008&deviceGubun=P&imsiYn=P
416회-1차-법제사법위원회-2024-07-09,제22대국회 제416회 1차 법제사법위원회,법제사법위원회,2024-07-09,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=053895&fileId=0000119942&deviceGubun=P&imsiYn=P
418회-2차-여성가족위원회-2024-09-11,제22대국회 제418회 2차 여성가족위원회,여성가족위원회,2024-09-11,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054087&fileId=0000121275&deviceGubun=P&imsiYn=P
418회-3차-결산심사소위원회-2024-09-11,제22대국회 제418회 3차 결산심사소위원회,결산심사소위원회,2024-09-11,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054091&fileId=0000121381&deviceGubun=P&imsiYn=P
418회-1차-고용노동법안심사소위원회-2024-09-11,제22대국회 제418회 1차 고용노동법안심사소위원회,고용노동법안심사소위원회,2024-09-11,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054085&fileId=0000121271&deviceGubun=P&imsiYn=P
418회-2차-산업통상자원중소벤처기업위원회-2024-09-11,제22대국회 제418회 2차 산업통상자원중소벤처기업위원회,산업통상자원중소벤처기업위원회,2024-09-11,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054088&fileId=0000121375&deviceGubun=P&imsiYn=P
418회-1차-안건조정위원회-2024-09-11,제22대국회 제418회 1차 안건조정위원회,안건조정위원회,2024-09-11,http://likms.assembly.go.kr/record/mhs-10-040-0040.do?conferNum=054136&fileId=0000121703&deviceGubun=P&imsiYn=P
